t	x	y	th	v*100	w	dTh	dSi
0.02	-0.00	0.00	-0.00	-1.44	-0.21	-0.00	-0.00
0.07	-0.00	0.00	-0.00	0.00	0.00	0.00	0.00
0.12	-0.00	0.00	-0.00	0.00	0.00	0.00	0.00
0.17	-0.00	0.00	-0.00	0.00	0.00	0.00	0.00
0.22	-0.00	0.00	-0.00	0.00	0.00	0.00	0.00
0.27	-0.00	0.00	-0.00	0.00	0.00	0.00	0.00
0.32	-0.00	0.00	-0.00	0.00	0.00	0.00	0.00
0.37	-0.00	0.00	-0.00	0.00	0.00	0.00	0.00
0.42	-0.00	0.00	-0.00	0.00	0.00	0.00	0.00
0.47	-0.00	0.00	-0.00	0.00	0.00	0.00	0.00
0.52	-0.00	0.00	-0.00	0.00	0.00	0.00	0.00
0.57	-0.00	0.00	-0.00	0.00	0.00	0.00	0.00
0.62	-0.00	0.00	-0.00	0.00	0.00	0.00	0.00
0.67	-0.00	0.00	-0.00	0.00	0.00	0.00	0.00
0.72	-0.00	0.00	-0.00	0.00	0.00	0.00	0.00
0.77	-0.00	0.00	-0.00	0.00	0.00	0.00	0.00
0.82	-0.00	0.00	-0.00	0.00	0.00	0.00	0.00
0.87	-0.00	0.00	-0.00	0.00	0.00	0.00	0.00
0.92	-0.00	0.00	-0.00	0.00	0.00	0.00	0.00
0.97	-0.00	0.00	-0.00	0.00	0.00	0.00	0.00
1.02	-0.00	0.00	-0.00	0.00	0.00	0.00	0.00
1.07	-0.00	0.00	-0.00	0.00	0.00	0.00	0.00
1.12	-0.00	0.00	-0.00	0.00	0.00	0.00	0.00
1.17	-0.00	0.00	-0.00	0.00	0.00	0.00	0.00
1.22	-0.00	0.00	-0.00	0.00	0.00	0.00	0.00
1.27	-0.00	0.00	-0.00	0.00	0.00	0.00	0.00
1.32	-0.00	0.00	-0.00	0.00	0.00	0.00	0.00
1.37	-0.00	0.00	-0.00	0.00	0.00	0.00	0.00
1.42	-0.00	0.00	-0.00	0.00	0.00	0.00	0.00
1.47	-0.00	0.00	-0.00	0.00	0.00	0.00	0.00
1.52	-0.00	0.00	-0.00	0.00	0.00	0.00	0.00
1.57	-0.00	0.00	-0.00	0.00	0.00	0.00	0.00
1.62	-0.00	0.00	-0.00	0.00	0.00	0.00	0.00
1.67	-0.00	0.00	-0.00	0.00	0.00	0.00	0.00
1.72	-0.00	0.00	-0.00	0.00	0.00	0.00	0.00
1.77	-0.00	0.00	-0.00	0.00	0.00	0.00	0.00
1.82	-0.00	0.00	-0.00	0.00	0.00	0.00	0.00
1.87	-0.00	0.00	-0.00	0.00	0.00	0.00	0.00
1.92	-0.00	0.00	-0.00	0.00	0.00	0.00	0.00
1.97	-0.00	0.00	-0.00	0.00	0.00	0.00	0.00
2.02	-0.00	0.00	-0.00	0.00	0.00	0.00	0.00
2.07	-0.00	0.00	-0.00	0.00	0.00	0.00	0.00
2.12	-0.00	0.00	-0.00	0.00	0.00	0.00	0.00
2.17	-0.00	0.00	-0.00	0.00	0.00	0.00	0.00
2.22	-0.00	0.00	-0.00	0.00	0.00	0.00	0.00
2.27	-0.00	0.00	-0.00	0.00	0.00	0.00	0.00
2.32	-0.00	0.00	-0.00	0.00	0.00	0.00	0.00
2.37	-0.00	0.00	-0.00	0.00	0.00	0.00	0.00
2.42	-0.00	0.00	-0.00	0.00	0.00	0.00	0.00
2.47	-0.00	0.00	-0.00	0.00	0.00	0.00	0.00
2.52	-0.00	0.00	-0.00	0.00	0.00	0.00	0.00
2.57	-0.00	0.00	-0.00	0.00	0.00	0.00	0.00
2.62	-0.00	0.00	-0.00	0.00	0.00	0.00	0.00
2.68	-0.00	0.00	-0.00	0.00	0.00	0.00	0.00
2.73	-0.00	0.00	-0.00	0.00	0.00	0.00	0.00
2.78	-0.00	0.00	-0.00	0.00	0.00	0.00	0.00
2.83	-0.00	0.00	-0.00	0.00	0.00	0.00	0.00
2.88	-0.00	0.00	-0.00	0.00	0.00	0.00	0.00
2.93	-0.00	0.00	-0.00	0.00	0.00	0.00	0.00
2.98	-0.00	0.00	-0.00	0.00	0.00	0.00	0.00
3.03	-0.00	0.00	-0.00	0.00	0.00	0.00	0.00
3.08	-0.00	0.00	-0.00	0.00	0.00	0.00	0.00
3.13	-0.00	0.00	-0.00	0.00	0.00	0.00	0.00
3.18	-0.00	0.00	-0.00	0.00	0.00	0.00	0.00
3.23	-0.00	0.00	-0.00	0.00	0.00	0.00	0.00
3.28	-0.00	0.00	-0.00	0.00	0.00	0.00	0.00
3.33	-0.00	0.00	-0.00	0.00	0.00	0.00	0.00
3.38	-0.00	0.00	-0.00	0.00	0.00	0.00	0.00
3.43	-0.00	0.00	-0.00	0.00	0.00	0.00	0.00
3.48	-0.00	0.00	-0.00	0.00	0.00	0.00	0.00
3.53	-0.00	0.00	-0.00	0.00	0.00	0.00	0.00
3.58	-0.00	0.00	-0.00	0.00	0.00	0.00	0.00
3.63	-0.00	0.00	-0.00	0.00	0.00	0.00	0.00
3.68	-0.00	0.00	-0.00	0.00	0.00	0.00	0.00
3.73	-0.00	0.00	-0.00	0.00	0.00	0.00	0.00
3.78	-0.00	0.00	-0.00	0.00	0.00	0.00	0.00
3.83	-0.00	0.00	-0.00	0.00	0.00	0.00	0.00
3.88	-0.00	0.00	-0.00	0.00	0.00	0.00	0.00
3.93	-0.00	0.00	-0.00	0.00	0.00	0.00	0.00
3.98	-0.00	0.00	-0.00	0.00	0.00	0.00	0.00
4.03	-0.00	0.00	-0.00	0.00	0.00	0.00	0.00
4.08	-0.00	0.00	-0.00	0.00	0.00	0.00	0.00
4.13	-0.00	0.00	-0.00	0.00	0.00	0.00	0.00
4.18	-0.00	0.00	-0.00	0.00	0.00	0.00	0.00
4.23	-0.00	0.00	-0.00	0.00	0.00	0.00	0.00
4.28	-0.00	0.00	-0.00	0.00	0.00	0.00	0.00
4.33	-0.00	0.00	-0.00	0.00	0.00	0.00	0.00
4.38	-0.00	0.00	-0.00	0.00	0.00	0.00	0.00
4.43	-0.00	0.00	-0.00	0.00	0.00	0.00	0.00
4.48	-0.00	0.00	-0.00	0.00	0.00	0.00	0.00
4.53	-0.00	0.00	-0.00	0.00	0.00	0.00	0.00
4.58	-0.00	0.00	-0.00	0.00	0.00	0.00	0.00
4.63	-0.00	0.00	-0.00	0.00	0.00	0.00	0.00
4.68	-0.00	0.00	-0.00	0.00	0.00	0.00	0.00
4.73	-0.00	0.00	-0.00	0.00	0.00	0.00	0.00
4.78	-0.00	0.00	-0.00	0.00	0.00	0.00	0.00
4.83	-0.00	0.00	-0.00	0.00	0.00	0.00	0.00
4.88	-0.00	0.00	-0.00	0.00	0.00	0.00	0.00
4.93	-0.00	0.00	-0.00	0.00	0.00	0.00	0.00
4.98	-0.00	0.00	-0.00	0.00	0.00	0.00	0.00
5.03	-0.00	0.00	-0.00	0.00	0.00	0.00	0.00
5.08	-0.00	0.00	-0.00	0.00	0.00	0.00	0.00
5.13	-0.00	0.00	-0.00	0.00	0.00	0.00	0.00
5.18	-0.00	0.00	-0.00	0.00	0.00	0.00	0.00
5.23	-0.00	0.00	-0.00	0.00	0.00	0.00	0.00
5.28	-0.00	0.00	-0.00	0.00	0.00	0.00	0.00
5.33	-0.00	0.00	-0.00	0.00	0.00	0.00	0.00
5.38	-0.00	0.00	-0.00	0.00	0.00	0.00	0.00
5.43	-0.00	0.00	-0.00	0.00	0.00	0.00	0.00
5.48	-0.00	0.00	-0.00	0.00	0.00	0.00	0.00
5.53	-0.00	0.00	-0.00	0.00	0.00	0.00	0.00
5.58	-0.00	0.00	-0.00	0.00	0.00	0.00	0.00
5.63	-0.00	0.00	-0.00	0.00	0.00	0.00	0.00
5.68	-0.00	0.00	-0.00	0.00	0.00	0.00	0.00
5.73	-0.00	0.00	-0.00	0.00	0.00	0.00	0.00
5.78	-0.00	0.00	-0.00	0.00	0.00	0.00	0.00
5.83	-0.00	0.00	-0.00	0.00	0.00	0.00	0.00
5.88	-0.00	0.00	-0.00	0.00	0.00	0.00	0.00
5.93	-0.00	0.00	-0.00	0.00	0.00	0.00	0.00
5.98	-0.00	0.00	-0.00	0.00	0.00	0.00	0.00
6.03	-0.00	0.00	-0.00	0.00	0.00	0.00	0.00
6.09	-0.00	0.00	-0.00	0.00	0.00	0.00	0.00
6.14	-0.00	0.00	-0.00	0.00	0.00	0.00	0.00
6.19	-0.00	0.00	-0.00	0.00	0.00	0.00	0.00
6.24	-0.00	0.00	-0.00	0.00	0.00	0.00	0.00
6.29	-0.00	0.00	-0.00	0.00	0.00	0.00	0.00
6.34	-0.00	0.00	-0.00	0.00	0.00	0.00	0.00
6.39	-0.00	0.00	-0.00	0.00	0.00	0.00	0.00
6.44	-0.00	0.00	-0.00	0.00	0.00	0.00	0.00
6.49	-0.00	0.00	-0.00	0.00	0.00	0.00	0.00
6.54	-0.00	0.00	-0.00	0.00	0.00	0.00	0.00
6.59	-0.00	0.00	-0.00	0.00	0.00	0.00	0.00
6.64	-0.00	0.00	-0.00	0.00	0.00	0.00	0.00
6.69	-0.00	0.00	-0.00	0.00	0.00	0.00	0.00
6.74	-0.00	0.00	-0.00	0.00	0.00	0.00	0.00
6.79	-0.00	0.00	-0.00	0.00	0.00	0.00	0.00
6.84	-0.00	0.00	-0.00	0.00	0.00	0.00	0.00
6.89	-0.00	0.00	-0.00	0.00	0.00	0.00	0.00
6.94	-0.00	0.00	-0.00	0.00	0.00	0.00	0.00
6.99	-0.00	0.00	-0.00	0.00	0.00	0.00	0.00
7.04	-0.00	0.00	-0.00	0.00	0.00	0.00	0.00
7.09	-0.00	0.00	-0.00	0.00	0.00	0.00	0.00
7.14	-0.00	0.00	-0.00	0.00	0.00	0.00	0.00
7.19	-0.00	0.00	-0.00	0.00	0.00	0.00	0.00
7.24	-0.00	0.00	-0.00	0.00	0.00	0.00	0.00
7.29	-0.00	0.00	-0.00	0.00	0.00	0.00	0.00
7.34	-0.00	0.00	-0.00	0.00	0.00	0.00	0.00
7.39	-0.00	0.00	-0.00	0.00	0.00	0.00	0.00
7.44	-0.00	0.00	-0.00	0.00	0.00	0.00	0.00
7.49	-0.00	0.00	-0.00	0.00	0.00	0.00	0.00
7.54	-0.00	0.00	-0.00	0.00	0.00	0.00	0.00
7.59	-0.00	0.00	-0.00	0.00	0.00	0.00	0.00
7.64	-0.00	0.00	-0.00	0.00	0.00	0.00	0.00
7.69	-0.00	0.00	-0.00	0.00	0.00	0.00	0.00
7.74	-0.00	0.00	-0.00	0.00	0.00	0.00	0.00
7.79	-0.00	0.00	-0.00	0.00	0.00	0.00	0.00
7.84	-0.00	0.00	-0.00	0.00	0.00	0.00	0.00
7.89	-0.00	0.00	-0.00	0.00	0.00	0.00	0.00
7.94	-0.00	0.00	-0.00	0.00	0.00	0.00	0.00
7.99	-0.00	0.00	-0.00	0.00	0.00	0.00	0.00
8.04	-0.00	0.00	-0.00	0.00	0.00	0.00	0.00
8.09	-0.00	0.00	-0.00	0.00	0.00	0.00	0.00
8.14	-0.00	0.00	-0.00	0.00	0.00	0.00	0.00
t	x	y	th	v*100	w	dTh	dSi
