t	x	y	th	v*100	w	dTh	dSi
0.21	0.00	0.00	0.00	0.00	0.00	0.00	0.00
0.26	0.00	0.00	0.00	0.00	0.00	0.00	0.00
0.31	0.00	0.00	0.00	0.00	0.00	0.00	0.00
0.36	0.00	0.00	0.00	3.71	0.00	0.00	0.00
0.41	0.01	0.00	0.00	11.71	0.07	0.00	0.01
0.46	0.02	0.00	0.01	15.98	0.13	0.01	0.01
0.51	0.02	0.00	0.01	18.31	0.07	0.00	0.01
0.56	0.04	0.00	0.01	20.20	-0.07	-0.00	0.01
0.61	0.05	0.00	0.01	21.59	0.00	0.00	0.01
0.67	0.06	0.00	0.01	22.53	0.00	0.00	0.01
0.72	0.07	0.00	0.01	22.53	0.00	0.00	0.01
0.77	0.08	0.00	0.00	21.61	-0.13	-0.01	0.01
0.82	0.09	0.00	0.00	22.52	0.00	0.00	0.01
0.87	0.10	0.00	0.00	22.53	0.00	0.00	0.01
0.92	0.11	0.00	-0.00	22.05	-0.07	-0.00	0.01
0.97	0.12	0.00	0.00	21.56	0.00	0.00	0.01
1.02	0.14	0.00	0.00	22.51	0.00	0.00	0.01
1.07	0.15	0.00	0.00	21.62	0.00	0.00	0.01
1.12	0.16	0.00	0.00	19.70	0.00	0.00	0.01
1.17	0.16	0.00	0.01	16.87	0.13	0.01	0.01
1.22	0.17	0.00	0.01	15.95	0.13	0.01	0.01
1.27	0.18	0.00	0.02	14.57	0.20	0.01	0.01
1.32	0.19	0.00	0.03	15.01	0.13	0.01	0.01
1.37	0.20	0.00	0.04	15.98	0.13	0.01	0.01
1.42	0.20	0.00	0.04	17.37	0.07	0.00	0.01
1.47	0.21	0.00	0.04	16.45	0.07	0.00	0.01
1.52	0.22	0.00	0.05	17.36	0.20	0.01	0.01
1.57	0.23	0.00	0.06	15.97	0.13	0.01	0.01
1.62	0.24	0.00	0.07	16.90	0.13	0.01	0.01
1.67	0.25	0.00	0.07	17.31	0.07	0.00	0.01
1.72	0.26	0.00	0.08	17.84	0.13	0.01	0.01
1.77	0.26	0.01	0.09	17.86	0.27	0.01	0.01
1.83	0.28	0.01	0.10	18.64	0.17	0.01	0.01
1.88	0.28	0.01	0.09	16.90	-0.13	-0.01	0.01
1.93	0.29	0.01	0.10	19.24	0.20	0.01	0.01
1.98	0.30	0.01	0.11	18.77	0.13	0.01	0.01
2.03	0.31	0.01	0.12	19.05	0.20	0.01	0.01
2.08	0.32	0.01	0.13	18.78	0.13	0.01	0.01
2.13	0.33	0.01	0.13	18.29	0.07	0.00	0.01
2.18	0.34	0.01	0.14	18.69	0.13	0.01	0.01
2.23	0.35	0.02	0.13	18.28	-0.07	-0.00	0.01
2.28	0.36	0.02	0.14	18.31	0.07	0.00	0.01
2.33	0.37	0.02	0.14	19.25	0.07	0.00	0.01
2.38	0.38	0.02	0.14	19.26	-0.07	-0.00	0.01
2.43	0.39	0.02	0.14	20.17	0.07	0.00	0.01
2.48	0.40	0.02	0.13	20.66	-0.13	-0.01	0.01
2.53	0.41	0.02	0.13	19.72	0.00	0.00	0.01
2.58	0.42	0.02	0.13	20.65	0.00	0.00	0.01
2.63	0.43	0.03	0.13	19.24	-0.07	-0.00	0.01
2.68	0.44	0.03	0.13	19.72	0.00	0.00	0.01
2.73	0.45	0.03	0.13	20.19	-0.07	-0.00	0.01
2.78	0.46	0.03	0.13	19.74	0.00	0.00	0.01
2.83	0.47	0.03	0.12	20.19	-0.07	-0.00	0.01
2.88	0.48	0.03	0.13	20.20	0.07	0.00	0.01
2.93	0.49	0.03	0.13	20.48	0.00	0.00	0.01
2.98	0.50	0.04	0.12	19.73	-0.13	-0.01	0.01
3.03	0.51	0.04	0.12	20.19	-0.07	-0.00	0.01
3.09	0.52	0.04	0.11	20.18	-0.07	-0.00	0.01
3.14	0.53	0.04	0.11	19.72	-0.13	-0.01	0.01
3.19	0.54	0.04	0.10	20.19	-0.20	-0.01	0.01
3.24	0.55	0.04	0.08	19.70	-0.27	-0.01	0.01
3.29	0.56	0.04	0.07	20.19	-0.34	-0.02	0.01
3.34	0.57	0.04	0.04	20.16	-0.47	-0.02	0.01
3.39	0.58	0.04	0.02	19.72	-0.40	-0.02	0.01
3.44	0.59	0.04	-0.00	20.07	-0.47	-0.02	0.01
3.49	0.60	0.04	-0.02	19.22	-0.47	-0.02	0.01
3.54	0.61	0.04	-0.05	19.71	-0.54	-0.03	0.01
3.59	0.62	0.04	-0.07	19.25	-0.47	-0.02	0.01
3.64	0.63	0.04	-0.10	19.24	-0.47	-0.02	0.01
3.69	0.64	0.04	-0.12	19.25	-0.47	-0.02	0.01
3.74	0.65	0.04	-0.14	19.71	-0.40	-0.02	0.01
3.79	0.65	0.04	-0.16	19.25	-0.34	-0.02	0.01
3.84	0.66	0.04	-0.18	19.20	-0.33	-0.02	0.01
3.89	0.67	0.03	-0.19	17.85	-0.27	-0.01	0.01
3.94	0.68	0.03	-0.20	19.17	-0.20	-0.01	0.01
3.99	0.69	0.03	-0.21	19.21	-0.20	-0.01	0.01
4.04	0.70	0.03	-0.23	19.24	-0.34	-0.02	0.01
4.09	0.71	0.03	-0.24	20.67	-0.27	-0.01	0.01
4.14	0.72	0.02	-0.25	20.17	-0.20	-0.01	0.01
4.19	0.73	0.02	-0.27	19.25	-0.34	-0.02	0.01
4.24	0.74	0.02	-0.28	20.02	-0.20	-0.01	0.01
