t	x	y	th	v*100	w	dTh	dSi
0.02	0.00	0.00	0.00	0.00	0.00	0.00	0.00
0.07	0.00	0.00	0.01	0.47	0.20	0.01	0.00
0.12	0.00	0.00	0.05	0.94	0.80	0.04	0.00
0.17	0.00	-0.00	0.11	-0.47	1.14	0.06	-0.00
0.22	0.00	-0.00	0.18	-0.47	1.41	0.07	-0.00
0.27	0.00	-0.00	0.25	0.00	1.48	0.07	0.00
0.32	0.00	-0.00	0.33	-0.47	1.54	0.08	-0.00
0.37	0.00	0.00	0.41	0.94	1.61	0.08	0.00
0.42	0.00	0.00	0.49	0.00	1.61	0.08	0.00
0.47	0.00	0.00	0.57	0.00	1.61	0.08	0.00
0.52	0.00	0.00	0.65	0.00	1.61	0.08	0.00
0.57	0.00	-0.00	0.73	-0.47	1.55	0.08	-0.00
0.62	0.00	0.00	0.81	0.47	1.55	0.08	0.00
0.67	0.00	0.00	0.89	0.00	1.61	0.08	0.00
0.72	0.00	-0.00	0.97	-0.45	1.49	0.08	-0.00
0.77	0.00	0.00	1.04	0.47	1.54	0.08	0.00
0.82	0.00	0.00	1.12	0.00	1.61	0.08	0.00
0.87	0.00	0.00	1.20	0.00	1.48	0.07	0.00
0.92	0.00	0.00	1.28	0.00	1.61	0.08	0.00
0.97	0.00	0.00	1.35	0.00	1.48	0.07	0.00
1.02	0.00	0.00	1.43	0.00	1.61	0.08	0.00
1.07	0.00	0.00	1.51	0.47	1.55	0.08	0.00
1.12	0.00	0.00	1.59	-0.47	1.54	0.08	-0.00
1.17	0.00	0.00	1.65	1.41	1.14	0.06	0.00
1.22	0.00	0.00	1.66	6.11	0.34	0.02	0.00
1.27	-0.00	0.01	1.65	7.05	-0.20	-0.01	0.00
1.33	-0.00	0.01	1.64	7.99	-0.20	-0.01	0.00
1.38	-0.00	0.02	1.62	8.93	-0.47	-0.02	0.00
1.43	-0.00	0.02	1.60	9.40	-0.40	-0.02	0.00
1.48	-0.00	0.03	1.58	9.87	-0.47	-0.02	0.00
1.53	-0.00	0.03	1.55	9.87	-0.47	-0.02	0.00
1.58	-0.00	0.04	1.52	9.40	-0.54	-0.03	0.00
1.63	-0.00	0.04	1.51	9.86	-0.34	-0.02	0.00
1.68	-0.00	0.04	1.48	9.40	-0.54	-0.03	0.00
1.73	0.00	0.05	1.45	9.39	-0.54	-0.03	0.00
1.78	0.00	0.05	1.43	10.34	-0.54	-0.03	0.01
1.83	0.00	0.06	1.40	10.80	-0.47	-0.02	0.01
1.88	0.00	0.07	1.38	10.34	-0.54	-0.03	0.01
1.93	0.00	0.07	1.36	9.39	-0.40	-0.02	0.00
1.98	0.00	0.07	1.33	9.87	-0.47	-0.02	0.00
2.03	0.01	0.08	1.31	9.39	-0.54	-0.03	0.00
2.08	0.01	0.08	1.28	10.33	-0.54	-0.03	0.01
2.13	0.01	0.09	1.25	10.33	-0.54	-0.03	0.01
2.18	0.01	0.09	1.23	9.40	-0.54	-0.03	0.00
2.23	0.01	0.10	1.20	9.39	-0.54	-0.03	0.00
2.28	0.01	0.10	1.18	10.34	-0.40	-0.02	0.01
2.33	0.02	0.11	1.15	9.39	-0.54	-0.03	0.00
2.38	0.02	0.11	1.12	10.34	-0.54	-0.03	0.01
2.43	0.02	0.12	1.10	9.86	-0.47	-0.02	0.00
2.48	0.02	0.12	1.08	9.87	-0.47	-0.02	0.00
2.53	0.03	0.12	1.05	9.86	-0.47	-0.02	0.00
2.58	0.03	0.13	1.03	9.40	-0.54	-0.03	0.00
2.63	0.03	0.13	1.01	9.39	-0.40	-0.02	0.00
2.68	0.03	0.14	0.98	9.87	-0.47	-0.02	0.00
2.73	0.04	0.14	0.96	9.39	-0.40	-0.02	0.00
2.78	0.04	0.15	0.94	10.34	-0.54	-0.03	0.01
2.83	0.04	0.15	0.91	9.39	-0.54	-0.03	0.00
2.88	0.04	0.15	0.88	10.34	-0.54	-0.03	0.01
2.93	0.05	0.16	0.86	9.39	-0.40	-0.02	0.00
2.98	0.05	0.16	0.84	9.87	-0.47	-0.02	0.00
3.03	0.05	0.16	0.81	10.80	-0.60	-0.03	0.01
3.08	0.06	0.17	0.78	9.40	-0.54	-0.03	0.00
3.13	0.06	0.17	0.76	10.80	-0.47	-0.02	0.01
3.18	0.06	0.17	0.73	9.40	-0.54	-0.03	0.00
3.23	0.07	0.18	0.71	9.40	-0.40	-0.02	0.00
3.28	0.07	0.18	0.69	9.87	-0.47	-0.02	0.00
