t	x	y	th	v*100	w	dTh	dSi
0.02	0.00	0.00	0.00	0.00	0.00	0.00	0.00
0.07	0.00	0.00	0.01	0.00	0.27	0.01	0.00
0.12	0.00	0.00	0.07	0.00	1.07	0.05	0.00
0.17	0.00	0.00	0.12	0.47	1.14	0.06	0.00
0.22	0.00	0.00	0.20	0.47	1.55	0.08	0.00
0.27	0.00	0.00	0.28	0.00	1.48	0.07	0.00
0.32	0.00	0.00	0.36	0.00	1.61	0.08	0.00
0.37	0.00	-0.00	0.43	-0.47	1.55	0.08	-0.00
0.42	0.00	0.00	0.52	0.47	1.68	0.08	0.00
0.47	0.00	0.00	0.60	0.47	1.54	0.08	0.00
0.52	0.00	0.00	0.67	-0.47	1.55	0.08	-0.00
0.57	0.00	0.00	0.75	0.47	1.55	0.08	0.00
0.62	0.00	0.00	0.83	-0.47	1.55	0.08	-0.00
0.67	0.00	-0.00	0.91	-0.47	1.55	0.08	-0.00
0.72	0.00	-0.00	0.98	0.00	1.48	0.07	0.00
0.77	0.00	-0.00	1.05	0.00	1.48	0.07	0.00
0.82	0.00	-0.00	1.13	0.00	1.61	0.08	0.00
0.87	0.00	-0.00	1.21	-0.47	1.41	0.07	-0.00
0.92	0.00	-0.00	1.29	0.00	1.61	0.08	0.00
0.97	0.00	-0.00	1.36	0.00	1.48	0.07	0.00
1.02	0.00	-0.00	1.43	0.00	1.48	0.07	0.00
1.07	0.00	-0.00	1.51	0.00	1.48	0.07	0.00
1.12	0.00	-0.00	1.58	0.00	1.48	0.07	0.00
1.17	0.00	0.00	1.64	2.35	1.14	0.06	0.00
1.22	-0.00	0.00	1.65	6.58	0.27	0.01	0.00
1.27	-0.00	0.01	1.64	7.05	-0.20	-0.01	0.00
1.32	-0.00	0.01	1.64	7.52	-0.13	-0.01	0.00
1.37	-0.00	0.02	1.62	8.46	-0.27	-0.01	0.00
1.42	-0.00	0.02	1.60	9.87	-0.47	-0.02	0.00
1.47	-0.00	0.03	1.58	9.86	-0.47	-0.02	0.00
1.52	-0.00	0.03	1.54	9.87	-0.60	-0.03	0.00
1.57	-0.00	0.04	1.52	10.81	-0.47	-0.02	0.01
1.62	-0.00	0.04	1.50	10.81	-0.47	-0.02	0.01
1.67	-0.00	0.05	1.47	9.40	-0.54	-0.03	0.00
1.72	0.00	0.05	1.45	9.87	-0.47	-0.02	0.00
1.77	0.00	0.06	1.42	9.87	-0.47	-0.02	0.00
1.82	0.00	0.06	1.40	10.34	-0.54	-0.03	0.01
1.87	0.00	0.07	1.37	9.87	-0.47	-0.02	0.00
1.92	0.00	0.07	1.35	9.40	-0.54	-0.03	0.00
1.97	0.00	0.08	1.32	9.86	-0.47	-0.02	0.00
2.02	0.01	0.08	1.30	9.39	-0.40	-0.02	0.00
2.07	0.01	0.08	1.28	9.40	-0.54	-0.03	0.00
2.12	0.01	0.09	1.25	9.86	-0.47	-0.02	0.00
2.17	0.01	0.09	1.23	10.34	-0.54	-0.03	0.01
2.22	0.01	0.10	1.20	9.39	-0.54	-0.03	0.00
2.27	0.01	0.10	1.17	10.81	-0.47	-0.02	0.01
2.32	0.02	0.11	1.15	8.92	-0.47	-0.02	0.00
2.37	0.02	0.11	1.13	10.32	-0.40	-0.02	0.01
2.42	0.02	0.12	1.10	9.39	-0.54	-0.03	0.00
2.47	0.02	0.12	1.08	9.39	-0.40	-0.02	0.00
2.52	0.02	0.12	1.06	9.86	-0.47	-0.02	0.00
2.57	0.03	0.13	1.04	8.93	-0.47	-0.02	0.00
2.62	0.03	0.13	1.01	10.80	-0.47	-0.02	0.01
2.67	0.03	0.14	0.99	9.40	-0.54	-0.03	0.00
2.72	0.04	0.14	0.96	10.80	-0.47	-0.02	0.01
2.77	0.04	0.15	0.94	9.40	-0.54	-0.03	0.00
2.82	0.04	0.15	0.91	10.33	-0.54	-0.03	0.01
2.87	0.04	0.15	0.88	10.34	-0.54	-0.03	0.01
2.92	0.05	0.16	0.85	9.39	-0.54	-0.03	0.00
2.97	0.05	0.16	0.83	9.40	-0.54	-0.03	0.00
3.02	0.05	0.16	0.81	9.39	-0.40	-0.02	0.00
3.07	0.06	0.17	0.78	10.34	-0.54	-0.03	0.01
3.12	0.06	0.17	0.75	9.39	-0.54	-0.03	0.00
3.17	0.06	0.17	0.73	10.34	-0.54	-0.03	0.01
3.22	0.07	0.18	0.70	9.39	-0.54	-0.03	0.00
3.27	0.07	0.18	0.68	9.40	-0.40	-0.02	0.00
3.32	0.08	0.18	0.66	9.39	-0.40	-0.02	0.00
3.37	0.08	0.19	0.64	9.87	-0.47	-0.02	0.00
3.43	0.08	0.19	0.61	9.86	-0.60	-0.03	0.00
3.48	0.09	0.19	0.58	9.87	-0.47	-0.02	0.00
3.53	0.09	0.20	0.56	10.33	-0.54	-0.03	0.01
3.58	0.10	0.20	0.53	9.40	-0.54	-0.03	0.00
3.63	0.10	0.20	0.50	9.86	-0.47	-0.02	0.00
3.68	0.10	0.20	0.48	9.40	-0.40	-0.02	0.00
3.73	0.11	0.20	0.46	9.39	-0.54	-0.03	0.00
3.78	0.11	0.21	0.44	9.40	-0.40	-0.02	0.00
3.83	0.12	0.21	0.41	9.86	-0.47	-0.02	0.00
3.88	0.12	0.21	0.39	10.33	-0.54	-0.03	0.01
3.93	0.13	0.21	0.36	9.86	-0.47	-0.02	0.00
3.98	0.13	0.21	0.34	10.33	-0.54	-0.03	0.01
4.03	0.14	0.22	0.31	10.34	-0.54	-0.03	0.01
4.08	0.14	0.22	0.28	9.40	-0.54	-0.03	0.00
4.13	0.15	0.22	0.26	9.39	-0.54	-0.03	0.00
4.18	0.15	0.22	0.24	10.34	-0.40	-0.02	0.01
4.23	0.16	0.22	0.21	9.86	-0.60	-0.03	0.00
4.28	0.16	0.22	0.18	9.87	-0.47	-0.02	0.00
4.33	0.17	0.22	0.16	9.86	-0.47	-0.02	0.00
4.38	0.17	0.22	0.14	9.40	-0.40	-0.02	0.00
4.43	0.18	0.22	0.11	10.33	-0.54	-0.03	0.01
4.48	0.18	0.22	0.09	9.87	-0.47	-0.02	0.00
4.53	0.19	0.22	0.07	9.82	-0.33	-0.02	0.00
4.58	0.19	0.23	0.06	9.83	-0.20	-0.01	0.00
4.63	0.19	0.23	0.06	9.39	0.00	0.00	0.00
4.68	0.20	0.23	0.06	9.40	0.00	0.00	0.00
4.73	0.20	0.23	0.06	9.40	0.00	0.00	0.00
4.78	0.21	0.23	0.06	10.30	0.00	0.00	0.01
4.83	0.21	0.23	0.06	10.30	0.00	0.00	0.01
4.88	0.22	0.23	0.06	9.40	0.00	0.00	0.00
4.93	0.22	0.23	0.06	9.86	-0.07	-0.00	0.00
